algorithm,n,time
t_quadratic,28940,0.5415968894958496
t_quadratic,28940,0.47431302070617676
t_quadratic,28940,0.5609478950500488
t_quadratic,40805,0.8923258781433105
t_quadratic,40805,0.9603228569030762
t_quadratic,40805,0.8566117286682129
t_quadratic,40805,0.8666892051696777
t_quadratic,40805,0.8431131839752197
t_quadratic,57536,1.292497158050537
t_quadratic,57536,1.5793509483337402
t_quadratic,57536,1.2406771183013916
t_quadratic,57536,1.421936273574829
t_quadratic,57536,1.433655023574829
t_quadratic,81126,2.3437459468841553
t_quadratic,81126,2.3792951107025146
t_quadratic,81126,2.4783501625061035
t_quadratic,81126,2.283337354660034
t_quadratic,81126,2.1461188793182373
t_quadratic,114387,4.125059127807617
t_quadratic,114387,4.014772891998291
t_quadratic,114387,3.9763309955596924
t_quadratic,114387,4.030314922332764
t_quadratic,114387,4.024837017059326
t_quadratic,161286,7.2857630252838135
t_quadratic,161286,7.784693002700806
t_quadratic,161286,7.711966037750244
t_quadratic,161286,7.239063739776611
t_quadratic,161286,7.711225986480713
t_quadratic,227414,14.104386806488037
t_quadratic,227414,15.09169316291809
t_quadratic,227414,14.94540786743164
t_quadratic,227414,14.194378137588501
t_quadratic,227414,15.043967962265015
t_quadratic,320654,27.86296772956848
t_quadratic,320654,27.819314002990723
t_quadratic,320654,27.756199836730957
t_quadratic,320654,28.142245292663574
t_quadratic,320654,28.035609006881714
t_hashmap,30,0.11016678810119629
t_hashmap,30,0.1132650375366211
t_hashmap,30,0.10113191604614258
t_hashmap,30,0.10655403137207031
t_hashmap,30,0.11410188674926758
t_hashmap,42,0.10182690620422363
t_hashmap,42,0.1031038761138916
t_hashmap,42,0.10915398597717285
t_hashmap,42,0.10437297821044922
t_hashmap,42,0.10049295425415039
t_hashmap,59,0.1012420654296875
t_hashmap,59,0.1085669994354248
t_hashmap,59,0.11239886283874512
t_hashmap,59,0.12003803253173828
t_hashmap,59,0.11059093475341797
t_hashmap,84,0.11174511909484863
t_hashmap,84,0.10304927825927734
t_hashmap,84,0.1055760383605957
t_hashmap,84,0.10648894309997559
t_hashmap,84,0.10442090034484863
t_hashmap,118,0.10514092445373535
t_hashmap,118,0.11503005027770996
t_hashmap,118,0.12116003036499023
t_hashmap,118,0.11127495765686035
t_hashmap,118,0.1000070571899414
t_hashmap,167,0.1189870834350586
t_hashmap,167,0.11777210235595703
t_hashmap,167,0.11137104034423828
t_hashmap,167,0.10831212997436523
t_hashmap,167,0.10833311080932617
t_hashmap,235,0.12844204902648926
t_hashmap,235,0.12533903121948242
t_hashmap,235,0.11203908920288086
t_hashmap,235,0.12227892875671387
t_hashmap,235,0.12600088119506836
t_hashmap,332,0.11586499214172363
t_hashmap,332,0.13300585746765137
t_hashmap,332,0.11980295181274414
t_hashmap,332,0.12304925918579102
t_hashmap,332,0.1284041404724121
t_hashmap,468,0.14426684379577637
t_hashmap,468,0.13618922233581543
t_hashmap,468,0.15895700454711914
t_hashmap,468,0.16067194938659668
t_hashmap,468,0.1235198974609375
t_hashmap,660,0.14618611335754395
t_hashmap,660,0.1433112621307373
t_hashmap,660,0.15674805641174316
t_hashmap,660,0.1489410400390625
t_hashmap,660,0.1504230499267578
t_hashmap,931,0.15497207641601562
t_hashmap,931,0.15683388710021973
t_hashmap,931,0.17296886444091797
t_hashmap,931,0.1482837200164795
t_hashmap,931,0.149061918258667
t_hashmap,1313,0.1669621467590332
t_hashmap,1313,0.157257080078125
t_hashmap,1313,0.16976714134216309
t_hashmap,1313,0.16979122161865234
t_hashmap,1313,0.1817920207977295
t_hashmap,1852,0.1810452938079834
t_hashmap,1852,0.16369199752807617
t_hashmap,1852,0.178300142288208
t_hashmap,1852,0.18402409553527832
t_hashmap,1852,0.1711130142211914
t_hashmap,2611,0.18335199356079102
t_hashmap,2611,0.1907210350036621
t_hashmap,2611,0.1907796859741211
t_hashmap,2611,0.18986201286315918
t_hashmap,2611,0.1957380771636963
t_hashmap,3682,0.20937490463256836
t_hashmap,3682,0.24657511711120605
t_hashmap,3682,0.2584707736968994
t_hashmap,3682,0.2109370231628418
t_hashmap,3682,0.21173977851867676
t_hashmap,5192,0.3052480220794678
t_hashmap,5192,0.3053550720214844
t_hashmap,5192,0.3351578712463379
t_hashmap,5192,0.29705071449279785
t_hashmap,5192,0.3105180263519287
t_hashmap,7321,0.4347710609436035
t_hashmap,7321,0.42528319358825684
t_hashmap,7321,0.40891504287719727
t_hashmap,7321,0.37709784507751465
t_hashmap,7321,0.42473506927490234
t_hashmap,10323,0.8438069820404053
t_hashmap,10323,0.7803401947021484
t_hashmap,10323,0.7864370346069336
t_hashmap,10323,0.7703080177307129
t_hashmap,10323,0.7777440547943115
t_hashmap,14556,1.149718999862671
t_hashmap,14556,1.264312982559204
t_hashmap,14556,1.216353178024292
